nome,porcentagem_desconto,preço,tipo,plataforma,sistema
Tom Clancy’s Rainbow Six - SIEGE - Standard Edition,0,"R$ 59,99",Padrão,pc,windows
DRAGON BALL FighterZ - FighterZ Pass,0,"R$ 89,90",DLC,pc,"steam,windows"
Men of War: Assault Squad 2 - War Chest Edition,-77%,"R$ 32,04",Padrão,pc,"steam,windows"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Road to Boruto,0,"R$ 122,16",Padrão,pc,"steam,windows"
Naruto Shippuden: Ultimate Ninja Storm 4,0,"R$ 97,00",Padrão,pc,"steam,windows"
TRAIL OUT,0,"R$ 37,99",Padrão,pc,"steam,windows"
Crunchyroll Mega Fan - 1 mês,0,"R$ 19,99",Padrão,"pc,mobile","windows,linux,mac,ios,android"
Sword Art Online: Hollow Realization Deluxe Edition,0,"R$ 90,99",Padrão,pc,"steam,windows"
MONSTER HUNTER: WORLD,-52%,"R$ 32,99",Padrão,pc,"steam,windows"
S.T.A.L.K.E.R.: Call of Pripyat,-70%,"R$ 10,49",Padrão,pc,"steam,windows"
171,0,"R$ 59,99",Padrão,pc,"steam,windows"
BágDex - Standard,0,"R$ 35,00",Pré-Venda,pc,windows
F1 Manager 2022,-80%,"R$ 19,99",Padrão,pc,"steam,windows"
Middle-earth: Shadow of War - Expansion Pass,0,"R$ 69,99",DLC,pc,"steam,windows"
Crunchyroll Fan - 1 mês,0,"R$ 14,99",Padrão,"pc,mobile","linux,mac,ios,android"
Arma 3,0,"R$ 99,99",Padrão,pc,"steam,windows"
Xbox - Cartão Presente Digital 10 Reais,0,"R$ 10,00",Padrão,"pc,console","windows,xbox"
Wildfrost,-13%,"R$ 51,99",Padrão,pc,"steam,windows"
Resident Evil Village - Winters' Expansion,-31%,"R$ 46,00",DLC,pc,"steam,windows"
DayZ Livonia,0,"R$ 24,99",DLC,pc,"steam,windows"
Frostpunk,0,"R$ 88,99",Padrão,pc,"steam,windows"
Resident Evil Village Gold Edition,-43%,"R$ 96,00",Padrão,pc,"steam,windows"
Frostpunk - Season Pass,0,"R$ 78,02",DLC,pc,"steam,windows"
DmC: Devil May Cry,-76%,"R$ 13,99",Padrão,pc,"steam,windows"
Xbox Live 12 Meses - Gift Card Digital,0,"R$ 199,99",Padrão,console,xbox
R$400 PlayStation Store - Cartão Presente Digital,0,"R$ 400,00",Padrão,console,playstation
Skul: The Hero Slayer,0,"R$ 37,99",Padrão,pc,"steam,windows,linux,mac"
Naruto Shippuden: Ultimate Ninja STORM Revolution,0,"R$ 55,99",Padrão,pc,"steam,windows"
Xbox Game Pass Ultimate - 1 Mês,0,"R$ 44,99",Padrão,"pc,console","windows,xbox"
Legend of Kay Anniversary,0,"R$ 36,99",Padrão,pc,"steam,windows,mac"
Scribblenauts Unmasked: A DC Comics Adventures,0,"R$ 36,99",Padrão,pc,"steam,windows"
R$70 PlayStation Store - Cartão Presente Digital,0,"R$ 70,00",Padrão,console,playstation
SWITCH ON - 12 Meses,0,"R$ 74,25",Padrão,console,nintendo
MotoGP 21,0,"R$ 93,99",Padrão,pc,"steam,windows"
Dying Light Definitive Edition,0,"R$ 124,99",Padrão,pc,"steam,windows,linux,mac"
Cult of the Lamb,0,"R$ 64,95",Padrão,pc,"steam,windows,mac"
Mortal Kombat XL,0,"R$ 129,99",Pacote,pc,"steam,windows"
Google Play R$15 - Gift Card Digital,0,"R$ 15,00",Padrão,mobile,android
R$450 PlayStation Store - Cartão Presente Digital,0,"R$ 450,00",Padrão,console,playstation
Xbox - Cartão Presente Digital 200 Reais,0,"R$ 200,00",Padrão,"pc,console","windows,xbox"
Middle-earth: Shadow of War,0,"R$ 229,99",Padrão,pc,"steam,windows"
The Universim,-20%,"R$ 44,79",Padrão,pc,"steam,windows,linux,mac"
Crypt of the NecroDancer,0,"R$ 27,99",Padrão,pc,"steam,windows,linux,mac"
The Last of Us - Part I,-10%,"R$ 223,99",Padrão,pc,"steam,windows"
Riot Points - Gift Card Digital 100 Reais,0,"R$ 100,00",Padrão,pc,"windows,mac"
Resident Evil: Revelations 2 Deluxe Edition,-60%,"R$ 29,99",Padrão,pc,"steam,windows"
Mortal Kombat 11,0,"R$ 229,99",Padrão,pc,"steam,windows"
Dragon Ball Xenoverse 2,0,"R$ 159,90",Padrão,pc,"steam,windows"
Elden Ring,0,"R$ 249,90",Padrão,pc,"steam,windows"
Google Play R$50 - Gift Card Digital,0,"R$ 50,00",Padrão,mobile,android
The LEGO Ninjago Movie Video Game,0,"R$ 89,99",Padrão,pc,"steam,windows"
LEGO Marvel Super Heroes 2: Deluxe Edition,0,"R$ 159,99",Padrão,pc,"steam,windows"
ACE COMBAT 7: SKIES UNKNOWN,0,"R$ 159,00",Padrão,pc,"steam,windows"
Xbox - Cartão Presente Digital 5 Reais,0,"R$ 5,00",Padrão,"pc,console","windows,xbox"
Quantum Break,0,"R$ 72,99",Padrão,pc,"steam,windows"
Naruto Storm 4: Road to Boruto Expansion,0,"R$ 36,99",DLC,pc,"steam,windows"
Scribblenauts Unlimited,0,"R$ 89,99",Padrão,pc,"steam,windows"
Resident Evil 4 - Deluxe Edition,-12%,"R$ 262,99",Padrão,pc,"steam,windows"
Euro Truck Simulator,-80%,"R$ 2,09",Padrão,pc,"steam,windows,mac"
Resident Evil 4,-12%,"R$ 218,99",Padrão,pc,"steam,windows"
Mortal Kombat 11 Ultimate,0,"R$ 279,99",Padrão,pc,"steam,windows"
S.T.A.L.K.E.R.: Shadow of Chernobyl,-70%,"R$ 10,49",Padrão,pc,"steam,windows"
Tales of Symphonia,0,"R$ 36,99",Padrão,pc,"steam,windows"
METAL GEAR SOLID V: The Definitive Experience,0,"R$ 98,99",Padrão,pc,"steam,windows"
My Friend Pedro,0,"R$ 37,99",Padrão,pc,"steam,windows"
Street Fighter V,-75%,"R$ 9,99",Padrão,pc,"steam,windows"
R$30 PlayStation Store - Cartão Presente Digital,0,"R$ 30,00",Padrão,console,playstation
Minecraft: Java and Bedrock Edition,0,"R$ 129,00",Padrão,pc,"windows,linux,mac"
Xbox - Cartão Presente Digital 50 Reais,0,"R$ 50,00",Padrão,"pc,console","windows,xbox"
R$300 PlayStation Store - Cartão Presente Digital,0,"R$ 300,00",Padrão,console,playstation
Resident Evil Village,-54%,"R$ 63,99",Padrão,pc,"steam,windows"
Resident Evil 0,0,Indisponivel,Padrão,pc,"steam,windows"
Euro Truck Simulator 2,-75%,"R$ 9,99",Padrão,pc,"steam,windows,linux"
Mario Kart™ 8 Deluxe,0,"R$ 299,00",Padrão,console,nintendo
SOULCALIBUR VI - Deluxe Edition,0,"R$ 259,90",Padrão,pc,"steam,windows"
Xbox - Cartão Presente Digital 100 Reais,0,"R$ 100,00",Padrão,"pc,console","windows,xbox"
Riot Points - Gift Card Digital 50 Reais,0,"R$ 50,00",Padrão,pc,"windows,mac"
R$100 PlayStation Store - Cartão Presente Digital,0,"R$ 100,00",Padrão,console,playstation
Nintendo - Gift Card Digital 300 Reais,0,"R$ 300,00",Padrão,console,nintendo
Darkest Dungeon,0,"R$ 45,99",Padrão,pc,"steam,windows,linux,mac"
Castlevania: Lords of Shadow 2,0,"R$ 72,99",Padrão,pc,"steam,windows"
