,nome,porcentagem_desconto,preco,tipo,plataforma,sistema
0,darkest dungeon ancestral edition,0,94.99,pacote,pc,"steam,windows,linux,mac"
1,darkest dungeon,0,45.99,padrao,pc,"steam,windows,linux,mac"
2,resident evil 2  biohazard re2  deluxe edition,0,109.99,padrao,pc,"steam,windows"
3,mad max,94,4.5,padrao,pc,"steam,windows,linux,mac"
4,enter the gungeon,0,27.99,padrao,pc,"steam,windows,linux,mac"
5,resident evil 7 biohazard gold edition,0,87.08,padrao,pc,"steam,windows"
6,lego batman 2 dc super heroes,94,4.5,padrao,pc,"steam,windows"
7,xbox game pass ultimate  1 mes,0,44.99,padrao,"pc,console","windows,xbox"
8,lego harry potter years 57,90,8.99,padrao,pc,"steam,windows"
9,riot points  gift card digital 100 reais,0,100.0,padrao,pc,"windows,mac"
10,secret neighbor,75,9.49,padrao,pc,"steam,windows"
11,xbox  cartao presente digital 40 reais,0,40.0,padrao,"pc,console","windows,xbox"
12,destiny 2 lightfall,39,90.44,dlc,pc,"steam,windows"
13,lego harry potter years 1 4,0,89.99,padrao,pc,"steam,windows"
14,sid meiers civilization v the complete edition,0,99.99,padrao,pc,"steam,mac"
15,rain world,0,36.99,padrao,pc,"steam,windows"
16,dragon ball z kakarot,0,159.9,padrao,pc,"steam,windows"
17,euro truck simulator,0,10.49,padrao,pc,"steam,windows,mac"
18,r$250 playstation store  cartao presente digital,0,250.0,padrao,console,playstation
19,darkest dungeon the shieldbreaker,0,8.69,dlc,pc,"steam,windows,linux,mac"
20,the legend of heroes trails in the sky,0,36.99,padrao,pc,"steam,windows"
21,scribblenauts unlimited,94,4.5,padrao,pc,"steam,windows"
22,google play r$50  gift card digital,0,50.0,padrao,mobile,android
23,r$100 playstation store  cartao presente digital,0,100.0,padrao,console,playstation
24,euro truck simulator 2,0,39.99,padrao,pc,"steam,windows,linux"
25,naruto storm 4 road to boruto expansion,0,36.99,dlc,pc,"steam,windows"
26,monster hunter world,0,69.99,padrao,pc,"steam,windows"
27,bagdex  treinador,0,80.0,prevenda,pc,windows
28,tales of vesperia definitive edition,80,27.98,padrao,pc,"steam,windows"
29,dying light definitive edition,80,24.99,padrao,pc,"steam,windows,linux,mac"
30,freedom fighters,80,5.79,padrao,pc,"steam,windows"
31,batman arkham origins,80,17.99,padrao,pc,"steam,windows"
32,resident evil 3,0,129.99,padrao,pc,"steam,windows"
33,resident evil hd remaster,0,39.99,padrao,pc,"steam,windows"
34,super mario 3d world + bowsers fury,0,299.0,padrao,console,nintendo
35,blasphemous,75,14.97,padrao,pc,"steam,windows"
36,resident evil 4  deluxe edition,8,274.99,padrao,pc,"steam,windows"
37,switch on  12 meses,0,74.25,padrao,console,nintendo
38,the legend of heroes trails of cold steel,0,72.99,padrao,pc,"steam,windows"
39,the legend of heroes trails of cold steel ii,0,72.99,padrao,pc,"steam,windows"
40,frostpunk  season pass,0,78.02,dlc,pc,"steam,windows"
41,xbox  cartao presente digital 200 reais,0,200.0,padrao,"pc,console","windows,xbox"
42,nintendo  gift card digital 300 reais,0,300.0,padrao,console,nintendo
